 S0124 , Pisloader 
 S1123 , PITSTOP 
 S0291 , PJApps 
 S0254 , PLAINTEE 
 S1006 , PLC-Blaster 
 S0435 , PLEAD 
 S0013 , PlugX 
 S0067 , pngdowner 
 S0428 , PoetRAT 
 S0012 , PoisonIvy 
 S0518 , PolyglotDuke 
 S0453 , Pony 
 S0216 , POORAIM 
 S0378 , PoshC2 
 S0150 , POSHSPY 
 S0177 , Power Loader 
 S0139 , PowerDuke 
 S1012 , PowerLess 
 S0685 , PowerPunch 
 S0441 , PowerShower 
 S0145 , POWERSOURCE 
 S0194 , PowerSploit 
 S0393 , PowerStallion 
 S0223 , POWERSTATS 
 S0371 , POWERTON 
 S1046 , PowGoop 
 S0184 , POWRUNER 
 S1058 , Prestige 
 S0113 , Prikormka 
 S0654 , ProLock 
 S0279 , Proton 
 S0238 , Proxysvc 
 S0613 , PS1 
 S0029 , PsExec 
 S0078 , Psylo 
 S0147 , Pteranodon 
 S1108 , PULSECHECK 
 S0196 , PUNCHBUGGY 
 S0197 , PUNCHTRACK 
 S0192 , Pupy 
 S0006 , pwdump 
 S1032 , PyDCrypt 
 S0583 , Pysa 
 S0650 , QakBot 
 S0269 , QUADAGENT 
 S0262 , QuasarRAT 
 S1076 , QUIETCANARY 
 S1084 , QUIETEXIT 
 S0686 , QuietSieve 
 S0481 , Ragnar Locker 
 S0565 , Raindrop 
 S0629 , RainyDay 
 S0458 , Ramsay 
 S1113 , RAPIDPULSE 
 S0055 , RARSTONE 
 S0241 , RATANKBA 
 S0364 , RawDisk 
 S0169 , RawPOS 
 S1040 , Rclone 
 S0295 , RCSAndroid 
 S0662 , RCSession 
 S0495 , RDAT 
 S0416 , RDFSNIFFER 
 S0172 , Reaver 
 S0539 , Red Alert 2.0 
 S0326 , RedDrop 
 S0153 , RedLeaves 
 S0075 , Reg 
 S0511 , RegDuke 
 S0019 , Regin 
 S0332 , Remcos 
 S0375 , Remexi 
 S0166 , RemoteCMD 
 S0592 , RemoteUtilities 
 S0125 , Remsec 
 S0174 , Responder 
 S0379 , Revenge RAT 
 S0496 , REvil 
 S0258 , RGDoor 
 S0433 , Rifdoor 
 S0403 , Riltok 
 S0003 , RIPTIDE 
 S0448 , Rising Sun 
 S0684 , ROADTools 
 S0400 , RobbinHood 
 S0112 , ROCKBOOT 
 S0270 , RogueRobin 
 S0240 , ROKRAT 
 S1078 , RotaJakiro 
 S0411 , Rotexy 
 S0103 , route 
 S0090 , Rover 
 S1073 , Royal 
 S0148 , RTM 
 S1071 , Rubeus 
 S0358 , Ruler 
 S0313 , RuMMS 
 S0253 , RunningRAT 
 S0446 , Ryuk 
 S0085 , S-Type 
 S1062 , S.O.V.A. 
 S1018 , Saint Bot 
 S0074 , Sakula 
 S0370 , SamSam 
 S1099 , Samurai 
 S1085 , Sardonic 
 S0111 , schtasks 
 S0461 , SDBbot 
 S0195 , SDelete 
 S0053 , SeaDuke 
 S0345 , Seasalt 
 S0185 , SEASHARPEE 
 S0382 , ServHelper 
 S0639 , Seth-Locker 
 S0596 , ShadowPad 
 S0140 , Shamoon 
 S1019 , Shark 
 S1055 , SharkBot 
 S1089 , SharpDisco 
 S0546 , SharpStage 
 S0450 , SHARPSTATS 
 S0294 , ShiftyBug 
 S0444 , ShimRat 
 S0445 , ShimRatReporter 
 S0028 , SHIPSHAPE 
 S0063 , SHOTPUT 
 S0217 , SHUTTERSPEED 
 S0589 , Sibot 
 S0610 , SideTwist 
 S0692 , SILENTTRINITY 
 S0549 , SilkBean 
 S0623 , Siloscape 
 S0419 , SimBad 
 S0007 , Skeleton Key 
 S0468 , Skidmap 
 S0327 , Skygofree 
 S1110 , SLIGHTPULSE 
 S0633 , Sliver 
 S0533 , SLOTHFULMEDIA 
 S0218 , SLOWDRIFT 
 S1104 , SLOWPULSE 
 S1035 , Small Sieve 
 S0226 , Smoke Loader 
 S0649 , SMOKEDHAM 
 S1086 , Snip3 
 S0159 , SNUGRIDE 
 S1124 , SocGholish 
 S0273 , Socksbot 
 S0627 , SodaMaster 
 S0615 , SombRAT 
 S0516 , SoreFang 
 S0157 , SOUNDBITE 
 S0035 , SPACESHIP 
 S0543 , Spark 
 S0374 , SpeakUp 
 S0646 , SpicyOmelette 
 S0227 , spwebmember 
 S0324 , SpyDealer 
 S0305 , SpyNote RAT 
 S0225 , sqlmap 
 S0390 , SQLRat 
 S1030 , Squirrelwaffle 
 S0058 , SslMM 
 S0188 , Starloader 
 S1037 , STARWHALE 
 S1112 , STEADYPULSE 
 S0328 , Stealth Mango 
 S0380 , StoneDrill 
 S0142 , StreamEx 
 S1034 , StrifeWater 
 S0491 , StrongPity 
 S0603 , Stuxnet 
 S1042 , SUGARDUMP 
 S1049 , SUGARUSH 
 S1082 , Sunbird 
 S0559 , SUNBURST 
 S0562 , SUNSPOT 
 S0578 , SUPERNOVA 
 S1064 , SVCReady 
 S0018 , Sykipot 
 S0242 , SynAck 
 S0519 , SYNful Knock 
 S0060 , Sys10 
 S0464 , SYSCON 
 S0096 , Systeminfo 
 S0663 , SysUpdate 
 S0098 , T9000 
 S0011 , Taidoor 
 S0586 , TAINTEDSCRIBE 
 S0467 , TajMahal 
 S0329 , Tangelo 
 S1069 , TangleBot 
 S1011 , Tarrask 
 S0057 , Tasklist 
 S0164 , TDTESS 
 S0560 , TEARDROP 
 S0545 , TERRACOTTA 
 S0146 , TEXTMATE 
 S0595 , ThiefQuest 
 S0665 , ThreatNeedle 
 S1056 , TianySpy 
 S0558 , Tiktok Pro 
 S0668 , TinyTurla 
 S0131 , TINYTYPHON 
 S0004 , TinyZBot 
 S0671 , Tomiris 
 S0183 , Tor 
 S0678 , Torisma 
 S0682 , TrailBlazer 
 S0424 , Triada 
 S0266 , TrickBot 
 S0427 , TrickMo 
 S1009 , Triton 
 S0307 , Trojan-SMS.AndroidOS.Agent.ao 
 S0306 , Trojan-SMS.AndroidOS.FakeInst.a 
 S0308 , Trojan-SMS.AndroidOS.OpFake.a 
 S0094 , Trojan.Karagany 
 S0001 , Trojan.Mebromi 
 S0178 , Truvasys 
 S0436 , TSCookie 
 S0647 , Turian 
 S0199 , TURNEDUP 
 S0302 , Twitoor 
 S0263 , TYPEFRAME 
 S0116 , UACMe 
 S0333 , UBoatRAT 
 S0221 , Umbreon 
 S0130 , Unknown Logger 
 S0275 , UPPERCUT 
 S0022 , Uroburos 
 S0386 , Ursnif 
 S0452 , USBferry 
 S0136 , USBStealer 
 S0476 , Valak 
 S0636 , VaporRage 
 S0207 , Vasport 
 S0442 , VBShower 
 S0257 , VERMIN 
 S0418 , ViceLeaker 
 S0506 , ViperRAT 
 S0180 , Volgmer 
 S1010 , VPNFilter 
 S0366 , WannaCry 
 S1116 , WARPWIRE 
 S0670 , WarzoneRAT 
 S0612 , WastedLocker 
 S0579 , Waterbear 
 S0109 , WEBC2 
 S0515 , WellMail 
 S0514 , WellMess 
 S0645 , Wevtutil 
 S0689 , WhisperGate 
 S0206 , Wiarp 
 S0005 , Windows Credential Editor 
 S0155 , WINDSHIELD 
 S0466 , WindTail 
 S0219 , WINERACK 
 S0191 , Winexe 
 S0176 , Wingbird 
 S0059 , WinMM 
 S0430 , Winnti for Linux 
 S0141 , Winnti for Windows 
 S0041 , Wiper 
 S1115 , WIREFIRE 
 S0312 , WireLurker 
 S0489 , WolfRAT 
 S1065 , Woody RAT 
 S0314 , X-Agent for Android 
 S0161 , XAgentOSX 
 S0341 , Xbash 
 S0298 , Xbot 
 S0653 , xCaon 
 S0123 , xCmd 
 S0297 , XcodeGhost 
 S0658 , XCSSET 
 S0318 , XLoader for Android 
 S0490 , XLoader for iOS 
 S0117 , XTunnel 
 S0388 , YAHOYAH 
 S0311 , YiSpecter 
 S0248 , yty 
 S0251 , Zebrocy 
 S0494 , Zen 
 S0287 , ZergHelper 
 S0027 , Zeroaccess 
 S0230 , ZeroT 
 S0330 , Zeus Panda 
 S1114 , ZIPLINE 
 S0086 , ZLib 
 S0672 , Zox 
 S0350 , zwShell 
 S0412 , ZxShell 
 S1013 , ZxxZ 
